epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.388,1.27277,9.43815,1.55658,0.38027,0.31795,0.29765,0.12978,0.4283,21.4018,0.51835,0.000665742,0.000665742,0.000665742
2,418.9,1.58979,4.04816,1.7911,0.03797,0.01026,0.01176,0.00684,0.6509,5.41253,0.6216,0.00128844,0.00128844,0.00128844
3,626.03,1.63063,3.10065,1.80694,0.44051,0.25842,0.31083,0.17725,0.39213,3.32389,0.48047,0.00186714,0.00186714,0.00186714
4,831.042,1.48413,2.67707,1.6611,0.43224,0.48718,0.40708,0.23568,0.35316,1.62696,0.44105,0.001802,0.001802,0.001802
5,1038.23,1.45587,2.51157,1.66226,0.42684,0.44615,0.42263,0.23046,0.35714,1.47149,0.42878,0.001736,0.001736,0.001736
6,1244.03,1.34713,2.24629,1.56848,0.50608,0.43077,0.41681,0.19221,0.3784,7.3477,0.44774,0.00167,0.00167,0.00167
7,1448.52,1.33775,2.23285,1.5324,0.51429,0.47692,0.47527,0.28403,0.33594,1.14313,0.40727,0.001604,0.001604,0.001604
8,1654.35,1.29141,2.07753,1.51863,0.60652,0.51382,0.55068,0.35107,0.32471,0.81276,0.4153,0.001538,0.001538,0.001538
9,1840.86,1.21392,1.9982,1.46416,0.68067,0.57436,0.60784,0.38871,0.28828,0.76092,0.37064,0.001472,0.001472,0.001472
10,2039.72,1.19795,1.94605,1.4338,0.63196,0.52821,0.59033,0.37483,0.2888,0.57496,0.37833,0.001406,0.001406,0.001406
11,2231.03,1.18426,1.93286,1.40727,0.62945,0.53333,0.62599,0.44144,0.27425,0.67577,0.36125,0.00134,0.00134,0.00134
12,2420.14,1.16299,1.81132,1.40782,0.57285,0.6359,0.66407,0.46085,0.27258,0.58588,0.3647,0.001274,0.001274,0.001274
13,2614.08,1.17103,1.76885,1.40942,0.68561,0.55917,0.65543,0.4467,0.2979,0.54042,0.39275,0.001208,0.001208,0.001208
14,2817.11,1.15911,1.74088,1.40617,0.63729,0.69231,0.66556,0.4501,0.30194,0.60553,0.38549,0.001142,0.001142,0.001142
15,3489.91,1.13455,1.70964,1.39978,0.64956,0.67692,0.70946,0.48779,0.26027,0.67045,0.3582,0.001076,0.001076,0.001076
16,3686.23,1.05658,1.62644,1.32242,0.81116,0.6359,0.76834,0.53867,0.25855,0.55974,0.35229,0.00101,0.00101,0.00101
17,3905.61,1.1098,1.65688,1.39125,0.68435,0.72269,0.76145,0.53183,0.25733,0.46457,0.35322,0.000944,0.000944,0.000944
18,4118.19,1.06522,1.52492,1.35997,0.76671,0.74158,0.78533,0.56142,0.25309,0.5898,0.34786,0.000878,0.000878,0.000878
19,4321.18,1.08412,1.55543,1.37027,0.7415,0.69136,0.74264,0.5362,0.22955,0.67215,0.33309,0.000812,0.000812,0.000812
20,4503.87,1.01732,1.51072,1.29545,0.78139,0.74359,0.7901,0.56508,0.25708,0.46656,0.34541,0.000746,0.000746,0.000746
21,4673.14,0.73105,1.08052,1.0304,0.73401,0.78462,0.80386,0.57745,0.24657,0.41881,0.3411,0.00068,0.00068,0.00068
22,4840.33,0.70748,0.93221,1.01554,0.79887,0.71282,0.7974,0.58231,0.24263,0.35841,0.34081,0.000614,0.000614,0.000614
23,5004.8,0.71956,0.96325,1.02905,0.81853,0.74018,0.84173,0.6163,0.23149,0.32324,0.32829,0.000548,0.000548,0.000548
24,5174.57,0.71789,0.90063,1.02233,0.80634,0.72596,0.81632,0.59538,0.24645,0.33932,0.33637,0.000482,0.000482,0.000482
25,5340.84,0.65765,0.84802,0.974,0.81042,0.78922,0.84361,0.62673,0.22193,0.32061,0.31984,0.000416,0.000416,0.000416
26,5511.78,0.68012,0.81299,1.00607,0.84187,0.79176,0.86599,0.64712,0.22944,0.30541,0.32627,0.00035,0.00035,0.00035
27,5680.49,0.63678,0.77882,0.93651,0.81491,0.81281,0.86088,0.65444,0.22421,0.27175,0.32706,0.000284,0.000284,0.000284
28,5852.41,0.60812,0.73686,0.92144,0.81817,0.78455,0.87251,0.66511,0.22633,0.26491,0.32462,0.000218,0.000218,0.000218
29,6025.38,0.62056,0.71928,0.93293,0.82017,0.79524,0.88518,0.67237,0.22784,0.25815,0.32367,0.000152,0.000152,0.000152
30,6226.71,0.60537,0.71342,0.94903,0.8246,0.82564,0.88951,0.67444,0.22491,0.25232,0.32279,8.6e-05,8.6e-05,8.6e-05
