epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7149,1.26511,2.60856,1.62713,0.61909,0.56676,0.61658,0.26786,1.54664,2.49287,1.85745,0.000664,0.000664,0.000664
2,90.2972,1.35357,2.18777,1.71382,0.5049,0.49419,0.48564,0.24337,1.58164,2.2651,1.83394,0.00119893,0.00119893,0.00119893
3,124.938,1.34186,1.89857,1.69523,0.62109,0.52288,0.56315,0.31141,1.47376,1.7016,1.74145,0.00160186,0.00160186,0.00160186
4,160.059,1.32815,1.67529,1.67638,0.72034,0.6301,0.70776,0.35483,1.60419,1.61985,1.78257,0.001406,0.001406,0.001406
5,195.96,1.26711,1.55695,1.63278,0.72702,0.6676,0.73692,0.42165,1.41724,1.51193,1.63308,0.001208,0.001208,0.001208
6,231.71,1.20307,1.41452,1.56067,0.68276,0.74323,0.76782,0.44375,1.4108,1.33551,1.6315,0.00101,0.00101,0.00101
7,266.253,1.15249,1.28891,1.51557,0.76753,0.72549,0.79824,0.51104,1.23396,1.21958,1.47786,0.000812,0.000812,0.000812
8,301.033,1.11878,1.17606,1.48394,0.82779,0.77684,0.85029,0.51826,1.36648,1.10516,1.52734,0.000614,0.000614,0.000614
9,335.855,1.08102,1.13484,1.45548,0.83196,0.7951,0.87161,0.56976,1.20969,0.99477,1.42341,0.000416,0.000416,0.000416
10,375.299,1.05737,1.05852,1.44103,0.83695,0.80041,0.88387,0.55119,1.28483,1.00833,1.47054,0.000218,0.000218,0.000218
